"filename", "language", "YAML", "PowerShell", "MS SQL", "Dart", "Markdown", "JSON", "Gradle", "JavaScript", "Swift", "Java Properties", "HTML", "XML", "C++", "Ruby", "TypeScript", "comment", "blank", "total"
"c:\maouidi 22\maouidi\devtools_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\maouidi 22\maouidi\ios\ImageNotification\NotificationService.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 6, 28
"c:\maouidi 22\maouidi\ios\Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 2, 11, 46
"c:\maouidi 22\maouidi\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\maouidi 22\maouidi\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\maouidi 22\maouidi\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\maouidi 22\maouidi\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\maouidi 22\maouidi\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\maouidi 22\maouidi\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 1, 27
"c:\maouidi 22\maouidi\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\maouidi 22\maouidi\lib\auth\auth_manager.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 30
"c:\maouidi 22\maouidi\lib\auth\base_auth_user_provider.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 37
"c:\maouidi 22\maouidi\lib\auth\supabase_auth\auth_util.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 38
"c:\maouidi 22\maouidi\lib\auth\supabase_auth\supabase_auth_manager.dart", "Dart", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 169
"c:\maouidi 22\maouidi\lib\backend\schema\structs\index.dart", "Dart", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 6
"c:\maouidi 22\maouidi\lib\backend\schema\structs\working_hours_struct.dart", "Dart", 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34, 228
"c:\maouidi 22\maouidi\lib\backend\schema\util\schema_util.dart", "Dart", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 75
"c:\maouidi 22\maouidi\lib\backend\supabase\database\database.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\maouidi 22\maouidi\lib\backend\supabase\database\row.dart", "Dart", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 98
